Workout date, 2019-07-17 11:49:53 
Duration, 575
Calories burned, 0
Mean heart rate,  88.12
Maximum heart rate, 108
Notes, Other exercise

Time (seconds), Rate (beats per minute)
    12.6, 69
    17.6, 65
    21.6, 66
    25.5, 67
    29.5, 67
    33.5, 73
    42.5, 92
    46.5, 94
    51.5, 97
    53.5, 98
    62.5, 102
    66.5, 102
    68.5, 102
    75.5, 102
    82.5, 105
    83.5, 105
    89.5, 103
    93.5, 104
   101.5, 96
   106.5, 97
   112.5, 101
   117.5, 100
   118.5, 101
   125.5, 103
   128.5, 103
   136.5, 108
   138.5, 107
   144.5, 103
   149.5, 103
   156.5, 101
   160.5, 101
   163.5, 102
   172.5, 106
   177.5, 106
   182.5, 106
   185.5, 107
   191.5, 106
   197.5, 106
   199.5, 104
   206.5, 99
   211.5, 101
   217.5, 102
   220.5, 103
   223.5, 106
   229.5, 106
   235.5, 103
   242.5, 104
   244.5, 105
   248.5, 106
   257.5, 107
   258.5, 108
   263.5, 106
   272.8, 104
   277.8, 104
   278.8, 105
   285.8, 101
   292.8, 105
   297.8, 104
   298.8, 104
   307.8, 104
   309.8, 104
   313.8, 105
   319.8, 101
   327.8, 105
   331.8, 104
   337.8, 98
   340.8, 97
   346.8, 95
   348.8, 95
   356.8, 96
   358.8, 96
   363.8, 97
   370.8, 81
   377.8, 72
   378.8, 73
   385.8, 72
   392.8, 72
   396.8, 73
   399.8, 70
   407.8, 70
   411.8, 72
   413.8, 72
   421.8, 66
   427.8, 69
   430.8, 71
   436.8, 64
   439.8, 65
   446.8, 75
   449.8, 73
   457.8, 69
   459.8, 72
   467.8, 67
   471.8, 66
   473.8, 65
   482.8, 61
   485.8, 60
   491.8, 68
   494.8, 72
   502.8, 67
   507.8, 65
   512.8, 64
   513.8, 64
   518.8, 64
   526.8, 65
   528.8, 64
   534.8, 64
   542.8, 66
   544.8, 66
   548.8, 65
   557.8, 74
   558.8, 73
   566.0, 67
