, Rate (beats per minute)
5,73
6,92
7,94
8,97
9,98
10,102
11,102
12,102
13,102
14,105
15,105
16,103
17,104
18,96
19,97
20,101
21,100
22,101
23,103
24,103
25,108
26,107
27,103
28,103
29,101
30,101
31,102
32,106
33,106
34,106
35,107
36,106
37,106
38,104
39,99
40,101
41,102
42,103
43,106
44,106
45,103
46,104
47,105
48,106
49,107
50,108
51,106
52,104
53,104
54,105
55,101
56,105
57,104
58,104
59,104
60,104
61,105
62,101
63,105
64,104
65,98
66,97
67,95
68,95
69,96
70,96
71,97
72,81
73,72
74,73
75,72
76,72
77,73
78,70
79,70
80,72
81,72
82,66
83,69
84,71
85,64
86,65
87,75
88,73
89,69
90,72
91,67
92,66
93,65
94,61
95,60
96,68
97,72
98,67
99,65
100,64
101,64
102,64
103,65
104,64
105,64
106,66
107,66
108,65
109,74
110,73
111,67
